source_code	source_label	candidate_curie	candidate_label	candidate_score	candidate_def	search_method
111	Continuous urban fabric		(no hits)			none
112	Discontinuous urban fabric		(no hits)			none
121	Industrial or commercial units	ENVO:00002267	['industrial waste material']			lexical
121	Industrial or commercial units	ENVO:00003861	['industrial building']			lexical
121	Industrial or commercial units	ENVO:01000964	['industrial wastewater']			lexical
121	Industrial or commercial units	ENVO:01001287	['industrial fire']			lexical
122	Road and rail networks and associated land		(no hits)			none
123	Port areas		(no hits)			none
124	Airports	ENVO:03501122	['airport']			lexical
124	Airports	ENVO:03501125	['airport transit lounge']			lexical
124	Airports	ENVO:03501123	['airport terminal']			lexical
124	Airports	ENVO:03501124	['airport concourse']			lexical
131	Mineral extraction sites		(no hits)			none
132	Dump sites	ENVO:01000916	['rubbish landslide']			lexical
133	Construction sites		(no hits)			none
141	Green urban areas		(no hits)			none
142	Sport and leisure facilities		(no hits)			none
211	Non-irrigated arable land		(no hits)			none
212	Permanently irrigated land		(no hits)			none
213	Rice fields	ENVO:00000296	['rice field']			lexical
213	Rice fields	ENVO:00005740	['paddy field soil']			lexical
221	Vineyards	ENVO:00000116	['vineyard']			lexical
221	Vineyards	ENVO:01000892	['area of cropland']			lexical
222	Fruit trees and berry plantations		(no hits)			none
223	Olive groves	ENVO:00000193	['olive grove']			lexical
231	Pastures	ENVO:00005773	['pasture soil']			lexical
231	Pastures	ENVO:00000266	['pasture']			lexical
231	Pastures	ENVO:01001178	['pasturable land']			lexical
231	Pastures	ENVO:01001182	['tended pasturable land']			lexical
241	Annual crops associated with permanent crops		(no hits)			none
242	Complex cultivation patterns		(no hits)			none
243	Land principally occupied by agriculture with significant areas of natural vegetation		(no hits)			none
244	Agro-forestry areas		(no hits)			none
311	Broad-leaved forest		(no hits)			none
312	Coniferous forest	ENVO:01000196	['coniferous forest biome']			lexical
312	Coniferous forest	ENVO:01000250	['subpolar coniferous forest biome']			lexical
312	Coniferous forest	ENVO:01000209	['subtropical coniferous forest biome']			lexical
312	Coniferous forest	ENVO:01000210	['tropical coniferous forest biome']			lexical
313	Mixed forest	ENVO:01001796	['temperate mixed forest']			lexical
313	Mixed forest	ENVO:01001797	['tropical mixed forest']			lexical
313	Mixed forest	ENVO:01000198	['mixed forest biome']			lexical
313	Mixed forest	ENVO:01000212	['temperate mixed forest biome']			lexical
321	Natural grasslands		(no hits)			none
322	Moors and heathland		(no hits)			none
323	Sclerophyllous vegetation	ENVO:01000434	['sclerophyllous forest']			lexical
324	Transitional woodland-shrub		(no hits)			none
331	Beaches, dunes, sands		(no hits)			none
332	Bare rocks		(no hits)			none
333	Sparsely vegetated areas		(no hits)			none
334	Burnt areas		(no hits)			none
335	Glaciers and perpetual snow		(no hits)			none
411	Inland marshes		(no hits)			none
412	Peat bogs	ENVO:00000489	['palsa']			lexical
421	Salt marshes	ENVO:01000022	['marine salt marsh biome']			lexical
421	Salt marshes	ENVO:00000054	['saline marsh']			lexical
422	Salines	ENVO:01001319	['saline water body']			lexical
422	Salines	ENVO:00000502	['container of an intermittent saline lake']			lexical
422	Salines	ENVO:00002197	['saline water aquarium']			lexical
422	Salines	ENVO:00002209	['saline lake sediment']			lexical
423	Intertidal flats	ENVO:01001369	['tidal mangrove shrubland']			lexical
511	Water courses	ENVO:01000991	['bathtub fixture']			lexical
511	Water courses	UBERON:0000173	['amniotic fluid']			lexical
512	Water bodies	ENVO:00000549	['container of an intermittent water body']			lexical
512	Water bodies	ENVO:01000617	['lentic water body']			lexical
512	Water bodies	ENVO:01000618	['lotic water body']			lexical
512	Water bodies	ENVO:01001320	['fresh water body']			lexical
521	Coastal lagoons	ENVO:01001369	['tidal mangrove shrubland']			lexical
522	Estuaries	ENVO:00000224	['slightly stratified estuary']			lexical
522	Estuaries	ENVO:00000226	['saline wedge estuary']			lexical
522	Estuaries	ENVO:00002137	['brackish estuary']			lexical
522	Estuaries	ENVO:00000045	['estuary']			lexical
523	Sea and ocean	ENVO:01000034	['oceanic sea surface microlayer biome']			lexical
523	Sea and ocean	ENVO:00002149	['sea water']			lexical
523	Sea and ocean	ENVO:04000002	['temperature of sea surface']			lexical
523	Sea and ocean	ENVO:01001581	['sea surface layer']			lexical
